Official Name Suburb,Official Name State
Winchelsea South,Victoria
Windsor,Victoria
Wonga Park,Victoria
Woodhouse,Victoria
Woorndoo,Victoria
Wroxham,Victoria
Wyuna,Victoria
Yeungroon,Victoria
Yuulong,Victoria
Alsace,Queensland
Aramara,Queensland
Arcturus,Queensland
Avenell Heights,Queensland
Bakers Creek,Queensland
Bancroft,Queensland
Beerwah,Queensland
Belivah,Queensland
Benair,Queensland
Biddeston,Queensland
Bindebango,Queensland
Blackall,Queensland
Blackbutt,Queensland
Bony Mountain,Queensland
Bray Park,Queensland
Cainbable,Queensland
Camp Creek,Queensland
Cannindah,Queensland
Cannon Hill,Queensland
Carmila,Queensland
Carpendale,Queensland
Cement Mills,Queensland
Centenary Heights,Queensland
Chelona,Queensland
Cleveland,Queensland
Columbia,Queensland
Cooloolabin,Queensland
Coonarr,Queensland
Coral Sea,Queensland
Cotherstone,Queensland
Coulson,Queensland
Cow Bay,Queensland
Currajong,Queensland
Curtis Island,Queensland
Dalcouth,Queensland
Deception Bay,Queensland
Deeragun,Queensland
Degilbo,Queensland
Downsfield,Queensland
Duaringa,Queensland
East Russell,Queensland
Edge Hill,Queensland
Fairdale,Queensland
Fielding,Queensland
Fleurbaix,Queensland
Forest Springs,Queensland
Garradunga,Queensland
Glen Russell,Queensland
Goolman,Queensland
Grandchester,Queensland
Groganville,Queensland
Groper Creek,Queensland
Guluguba,Queensland
Heatley,Queensland
Hodgson,Queensland
Horseshoe Lagoon,Queensland
Hyde Park,Queensland
Jindalee,Queensland
Johnstown,Queensland
Kapaldo,Queensland
Kilcoy,Queensland
Kinleymore,Queensland
Kowanyama,Queensland
Kuluin,Queensland
Lake Macdonald,Queensland
Langlands,Queensland
Langshaw,Queensland
Lannercost,Queensland
Laravale,Queensland
Lilyvale,Queensland
Logan Village,Queensland
Mackenzie,Queensland
Miami,Queensland
Middle Ridge,Queensland
Midgee,Queensland
Milton,Queensland
Mount Coolum,Queensland
Mount Debateable,Queensland
Mount Hutton,Queensland
Mount Maria,Queensland
Mountain Camp,Queensland
Murray,Queensland
Mysterton,Queensland
Newstead,Queensland
North Maclean,Queensland
Old Talgai,Queensland
Pallara,Queensland
Pialba,Queensland
Qunaba,Queensland
Reids Creek,Queensland
River Ranch,Queensland
Rywung,Queensland
Shelburne,Queensland
Shute Harbour,Queensland
Sommariva,Queensland
Southport,Queensland
Springdale,Queensland
St Lucia,Queensland
Stafford Heights,Queensland
Stoters Hill,Queensland
Taldora,Queensland
Tamrookum,Queensland
Teelah,Queensland
The Gums,Queensland
Theebine,Queensland
Thuringowa Central,Queensland
Tingun,Queensland
Tolga,Queensland
Torrington,Queensland
Wangetti,Queensland
Wengenville,Queensland
Widgee,Queensland
Wilson Beach,Queensland
Winwill,Queensland
Woorabinda,Queensland
Wyreema,Queensland
Yugar,Queensland
Alford,South Australia
American River,South Australia
Andrews,South Australia
Arthurton,South Australia
Bakara Well,South Australia
Beaumonts,South Australia
Benbournie,South Australia
Blanchetown,South Australia
Cherry Gardens,South Australia
Cockatoo Valley,South Australia
Colebatch,South Australia
Collinsfield,South Australia
Condowie,South Australia
Craigburn Farm,South Australia
Davenport,South Australia
Firle,South Australia
Gammon Ranges,South Australia
Gurra Gurra,South Australia
Hawker,South Australia
Keppoch,South Australia
Kingsford,South Australia
Kongal,South Australia
Lake Plains,South Australia
Linden Park,South Australia
Marino,South Australia
Markaranka,South Australia
Mil-Lel,South Australia
Milang,South Australia
Mile End South,South Australia
Miltalie,South Australia
Mindarie,South Australia
Monteith,South Australia
Mount Ive,South Australia
Mount Serle,South Australia
Mount Wedge,South Australia
Myponga Beach,South Australia
Nailsworth,South Australia
Nantawarra,South Australia
New Port,South Australia
Oakden,South Australia
Penola,South Australia
Perlubie,South Australia
Port Arthur,South Australia
Port Neill,South Australia
Riverglen,South Australia
Spring Gully,South Australia
St Agnes,South Australia
Stockport,South Australia
Walloway,South Australia
Wanbi,South Australia
Watervale,South Australia
West Bundaleer,South Australia
White Well Corner,South Australia
Willyaroo,South Australia
Allanson,Western Australia
Balla Balla,Western Australia
Balladong,Western Australia
Bateman,Western Australia
Big Grove,Western Australia
Buckingham,Western Australia
Cannington,Western Australia
Cooloongup,Western Australia
Cranbrook,Western Australia
Cunderdin,Western Australia
Daliak,Western Australia
Dardadine,Western Australia
Dinninup,Western Australia
Elachbutting,Western Australia
Exmouth Gulf,Western Australia
Falcon,Western Australia
Finucane,Western Australia
Forrest Beach,Western Australia
Frankland River,Western Australia
Gap Ridge,Western Australia
Gilroyd,Western Australia
Glendalough,Western Australia
Halls Creek,Western Australia
Hester,Western Australia
Highgate,Western Australia
Horrocks,Western Australia
Howatharra,Western Australia
Innaloo,Western Australia
Irishtown,Western Australia
Jaloran,Western Australia
Jingalup,Western Australia
Karloning,Western Australia
King River,Western Australia
Kirk Rock,Western Australia
Kookynie,Western Australia
Kwelkan,Western Australia
Lake Argyle,"Northern Territory,Western Australia"
Lamington,Western Australia
Langford,Western Australia
Lumeah,Western Australia
Lynwood,Western Australia
Massey Bay,Western Australia
Meekatharra,Western Australia
Mettler,Western Australia
Miamoon,Western Australia
Mooliabeenee,Western Australia
Morangup,Western Australia
Mount Stirling,Western Australia
Nairibin,Western Australia
Narra Tarra,Western Australia
Newman,Western Australia
North Yunderup,Western Australia
Orelia,Western Australia
Parmelia,Western Australia
Paynesville,Western Australia
Peerabeelup,Western Australia
Queens Park,Western Australia
Roleystone,Western Australia
Rossmore,Western Australia
Sandsprings,Western Australia
South Burracoppin,Western Australia
South Lake,Western Australia
Strathalbyn,Western Australia
Talbot West,Western Australia
Tammin,Western Australia
Tarcoola Beach,Western Australia
Telfer,Western Australia
Walmsley,Western Australia
Wandillup,Western Australia
West Beach,Western Australia
West Casuarinas,Western Australia
Woottating,Western Australia
Yanchep,Western Australia
Yarawindah,Western Australia
Yathroo,Western Australia
Barrington,Tasmania
Blue Rocks,Tasmania
Branxholm,Tasmania
Chigwell,Tasmania
Christmas Hills,Tasmania
Devon Hills,Tasmania
East Launceston,Tasmania
Edgcumbe Beach,Tasmania
Egg Lagoon,Tasmania
Forth,Tasmania
George Town,Tasmania
Grasstree Hill,Tasmania
Lebrina,Tasmania
Lilydale,Tasmania
Loorana,Tasmania
Lower Beulah,Tasmania
Macquarie Plains,Tasmania
Mayberry,Tasmania
Miena,Tasmania
Montana,Tasmania
Moonah,Tasmania
Pontypool,Tasmania
Rokeby,Tasmania
Sea Elephant,Tasmania
Seven Mile Beach,Tasmania
South Burnie,Tasmania
St Marys,Tasmania
Strzelecki,Tasmania
Tarleton,Tasmania
Upper Castra,Tasmania
Weldborough,Tasmania
Wilburville,Tasmania
Anula,Northern Territory
Connellan,Northern Territory
Coomalie Creek,Northern Territory
Girraween,Northern Territory
Irlpme,Northern Territory
Mereenie,Northern Territory
Mutitjulu,Northern Territory
Numbulwar,Northern Territory
Pamayu,Northern Territory
Top Springs,Northern Territory
Wanguri,Northern Territory
Wilora,Northern Territory
ACT Remainder - Molonglo Valley,Australian Capital Territory
Hall,Australian Capital Territory
Holt,Australian Capital Territory
Kaleen,Australian Capital Territory
McKellar,Australian Capital Territory
Phillip,Australian Capital Territory
Adelong,New South Wales
Alfredtown,New South Wales
Angourie,New South Wales
Arkstone,New South Wales
Aylmerton,New South Wales
Balala,New South Wales
Belltrees,New South Wales
Blacksmiths,New South Wales
Boggabilla,New South Wales
Bonnyrigg,New South Wales
Bottle Creek,New South Wales
Bowman,New South Wales
Brooman,New South Wales
Bungowannah,New South Wales
Burrundulla,New South Wales
Calga,New South Wales
Callala Bay,New South Wales
Chinnock,New South Wales
Clergate,New South Wales
Cobar,New South Wales
Commissioners Creek,New South Wales
Coogee,New South Wales
Coonamble,New South Wales
Cootamundra,New South Wales
Copacabana,New South Wales
Cougal,New South Wales
Crackenback,New South Wales
Cudgera Creek,New South Wales
Cullen Bullen,New South Wales
Cullivel,New South Wales
Cumborah,New South Wales
Darawank,New South Wales
Darlington Point,New South Wales
Douglas Park,New South Wales
Downside,New South Wales
Dungay,New South Wales
East Ballina,New South Wales
Eastwood,New South Wales
Eglinton,New South Wales
Emu Swamp,New South Wales
Fitzgeralds Mount,New South Wales
Fowlers Gap,New South Wales
Freemans Waterhole,New South Wales
Gin Gin,New South Wales
Glendale,New South Wales
Gooandra,New South Wales
Greenwell Point,New South Wales
Hassall Grove,New South Wales
Illaroo,New South Wales
Innes View,New South Wales
Jerrabattgulla,New South Wales
Jerseyville,New South Wales
Jingellic,"New South Wales,Victoria"
Johns River,New South Wales
Kapooka,New South Wales
Kindee,New South Wales
Kingsdale,New South Wales
Kulwin,New South Wales
Laggan,New South Wales
Lake Heights,New South Wales
Lakelands,New South Wales
Larbert,New South Wales
Lemington,New South Wales
Lemon Tree Passage,New South Wales
Liston,New South Wales
Lithgow,New South Wales
Long Jetty,New South Wales
Maclean,New South Wales
Macquarie Hills,New South Wales
Maison Dieu,New South Wales
Manildra,New South Wales
McMahons Point,New South Wales
Mebul,New South Wales
Merrylands,New South Wales
Miamley,New South Wales
Millthorpe,New South Wales
Mirannie,New South Wales
Moobi,New South Wales
Moogem,New South Wales
Moorbel,New South Wales
Moorebank,New South Wales
Moorland,New South Wales
Moss Vale,New South Wales
Mount Burrell,New South Wales
Mount Elliot,New South Wales
Mount Hope,New South Wales
Mount Panorama,New South Wales
Narraweena,New South Wales
Nelsons Plains,New South Wales
Neringla,New South Wales
New Berrima,New South Wales
Niemur,New South Wales
North Lismore,New South Wales
North Woodburn,New South Wales
Orange,New South Wales
Paringi,New South Wales
Peelwood,New South Wales
Pimlico,New South Wales
Pleasant Hills,New South Wales
Quanda,New South Wales
Quandary,New South Wales
Raglan,New South Wales
Red Rocks,New South Wales
Rocky Point,New South Wales
Rocky River,New South Wales
Rosebank,New South Wales
Sackville,New South Wales
San Remo,New South Wales
Sandy Gully,New South Wales
Savernake,New South Wales
Sawyers Gully,New South Wales
Scotts Head,New South Wales
Shadforth,New South Wales
Shellharbour,New South Wales
South Arm,New South Wales
South Golden Beach,New South Wales
St Huberts Island,New South Wales
Stanhope,New South Wales
Steeple Flat,New South Wales
Stonequarry,New South Wales
Summer Hill Creek,New South Wales
Sutton Forest,New South Wales
Swan Vale,New South Wales
Talofa,New South Wales
Tantangara,New South Wales
The Entrance,New South Wales
Tichular,New South Wales
Timbillica,New South Wales
Twin Rivers,New South Wales
Two Mile Flat,New South Wales
Ulladulla,New South Wales
Upper Crystal Creek,New South Wales
Upper Kangaroo River,New South Wales
Upper Turon,New South Wales
Urawilkie,New South Wales
Urbenville,New South Wales
Urila,New South Wales
Valentine,New South Wales
Wallarah,New South Wales
Wapengo,New South Wales
Wareemba,New South Wales
Warragamba,New South Wales
Warrimoo,New South Wales
Wellington Vale,New South Wales
Whitebridge,New South Wales
Willala,New South Wales
Woodcroft,New South Wales
Wooloweyah,New South Wales
Woomargama,New South Wales
Wrights Creek,New South Wales
Yarras,New South Wales
Altona Meadows,Victoria
Appin South,Victoria
Ballarat Central,Victoria
Barrys Reef,Victoria
Batesford,Victoria
Beaumaris,Victoria
Bellbrae,Victoria
Bend Of Islands,Victoria
Bete Bolong North,Victoria
Blowhard,Victoria
Bonn,Victoria
Boorhaman North,Victoria
Brumby,Victoria
Brunswick,Victoria
Brunswick West,Victoria
Buangor,Victoria
Buffalo River,Victoria
Bundalaguah,Victoria
Burramboot,Victoria
Bylands,Victoria
Calulu,Victoria
Cape Woolamai,Victoria
Carag Carag,Victoria
Chiltern,Victoria
Cocoroc,Victoria
Collingwood,Victoria
Corunnun,Victoria
Culgoa,Victoria
Darraweit Guim,Victoria
Dawson,Victoria
Ellinbank,Victoria
Elsternwick,Victoria
Eltham North,Victoria
Epping,Victoria
Epsom,Victoria
Euroa,Victoria
Ferndale,Victoria
Garfield,Victoria
Glen Forbes,Victoria
Glen Waverley,Victoria
Gower,Victoria
Gredgwin,Victoria
Greenwald,Victoria
Hillcrest,Victoria
Humevale,Victoria
Jeetho,Victoria
Junction Village,Victoria
Keely,Victoria
Kerang East,Victoria
Killingworth,Victoria
Koroit,Victoria
Korweinguboora,Victoria
Kotta,Victoria
Koyuga,Victoria
Kurting,Victoria
Langley,Victoria
Licola,Victoria
Lysterfield South,Victoria
Macedon,Victoria
Macs Cove,Victoria
Main Ridge,Victoria
Manorina,Victoria
Marnoo West,Victoria
Merton,Victoria
Moonambel,Victoria
Moorngag,Victoria
Morton Plains,Victoria
Mount Cottrell,Victoria
Mount Eccles,Victoria
Mount Hooghly,Victoria
Myall,Victoria
Neuarpurr,Victoria
Newlands Arm,Victoria
Newmerella,Victoria
Oaklands Junction,Victoria
Ocean Grange,Victoria
Osbornes Flat,Victoria
Parkville,Victoria
Pigeon Ponds,Victoria
Pine Grove,Victoria
Queenscliff,Victoria
Rich Avon,Victoria
Rich Avon West,Victoria
Robertsons Beach,Victoria
Russells Bridge,Victoria
Rythdale,Victoria
Serpentine,Victoria
Sherbrooke,Victoria
St Kilda West,Victoria
Tahara,Victoria
Tallygaroopna,Victoria
Taminick,Victoria
Tamleugh North,Victoria
Tanjil South,Victoria
Tarrawingee,Victoria
Tawonga,Victoria
Taylor Bay,Victoria
The Patch,Victoria
Timboon,Victoria
Tinamba West,Victoria
Toolleen,Victoria
Toolome,Victoria
Toolong,Victoria
Travancore,Victoria
Vinifera,Victoria
Westbury,Victoria
Whipstick,Victoria
Whittington,Victoria
Wombelano,Victoria
Wonwondah,Victoria
Woodstock On Loddon,Victoria
Wooragee,Victoria
Wychitella,Victoria
Wyuna East,Victoria
Youarang,Victoria
Alberta,Queensland
Allenview,Queensland
Ashfield,Queensland
Balgal Beach,Queensland
Bellevue,Queensland
Berat,Queensland
Boolboonda,Queensland
Boyne Island,Queensland
Boynedale,Queensland
Bridges,Queensland
Brisbane Airport,Queensland
Bundaberg West,Queensland
Camboon,Queensland
Cardwell,Queensland
Carseldine,Queensland
Carters Ridge,Queensland
Cedar Pocket,Queensland
Clarke Creek,Queensland
Clemant,Queensland
Clontarf,Queensland
Coconuts,Queensland
Comoon Loop,Queensland
Cremorne,Queensland
Crossroads,Queensland
Currumbin Waters,Queensland
Didcot,Queensland
Dingo Pocket,Queensland
Dirnbir,Queensland
Djuan,Queensland
Drillham,Queensland
Dunwich,Queensland
Edward River,Queensland
Eidsvold,Queensland
Eskdale,Queensland
Eungella,Queensland
Evelyn,Queensland
Fordsdale,Queensland
Frazerview,Queensland
Gainsford,Queensland
Glan Devon,Queensland
Glenlyon,Queensland
Goomburra,Queensland
Goorganga Plains,Queensland
Groomsville,Queensland
Iama Island,Queensland
Image Flat,Queensland
Kalkie,Queensland
Kandanga Creek,Queensland
Kenmore,Queensland
Kepnock,Queensland
Keysland,Queensland
King Scrub,Queensland
Kinkuna,Queensland
Kippa-Ring,Queensland
Kurrimine Beach,Queensland
Laguna Quays,Queensland
Lake Barrine,Queensland
Landsborough,Queensland
Linthorpe,Queensland
Lower Beechmont,Queensland
Lowmead,Queensland
Mansfield,Queensland
Maryvale,Queensland
Meldale,Queensland
Midgenoo,Queensland
Minden,Queensland
Morinish,Queensland
Mount Abundance,Queensland
Mount Mellum,Queensland
Mount Mulgrave,Queensland
Mount Tarampa,Queensland
Mount Warren Park,Queensland
Mulgowie,Queensland
Murgon,Queensland
Murray Upper,Queensland
Neumgna,Queensland
Newtown,Queensland
Nikenbah,Queensland
North Bungunya,Queensland
North Isis,Queensland
North Tivoli,Queensland
North Ward,Queensland
Nudgee,Queensland
Oman Ama,Queensland
Oonoonba,Queensland
Pacific Heights,Queensland
Pacific Pines,Queensland
Parramatta Park,Queensland
Pine Mountain,Queensland
Pioneers Rest,Queensland
Rainbow Beach,Queensland
Red Hill,Queensland
Reedy Creek,Queensland
Roadvale,Queensland
Rodds Bay,Queensland
Sherwood,Queensland
Silverwood,Queensland
Slade Point,Queensland
Smithfield,Queensland
Smithlea,Queensland
Southern Moreton Bay Islands,Queensland
Springfield Lakes,Queensland
Stuart,Queensland
Surat,Queensland
Talgai,Queensland
Tarampa,Queensland
Templin,Queensland
The Caves,Queensland
The Glen,Queensland
Theresa Creek,Queensland
Towers Hill,Queensland
Tuan,Queensland
Tully,Queensland
Two Mile,Queensland
Valentine Plains,Queensland
Walkers Point,Queensland
Wamuran,Queensland
Warwick,Queensland
Watsons Crossing,Queensland
Wattle Camp,Queensland
Weengallon,Queensland
Wilkesdale,Queensland
Willawong,Queensland
Winston,Queensland
Wolvi,Queensland
Woodmillar,Queensland
Woolmer,Queensland
Woolooman,Queensland
Wootha,Queensland
Wycombe,Queensland
Yaamba,Queensland
Yamanto,Queensland
Yarrabah,Queensland
Aldgate,South Australia
Baldina,South Australia
Bangor,South Australia
Barinia,South Australia
Bower,South Australia
Bramfield,South Australia
Brooker,South Australia
Brooklyn Park,South Australia
Bungaree,South Australia
Canowie Belt,South Australia
Canunda,South Australia
Coorong,South Australia
Cowandilla,South Australia
Delamere,South Australia
Five Miles,South Australia
Gawler East,South Australia
Glanville,South Australia
Glenburnie,"South Australia,Victoria"
Glenside,South Australia
Goolwa North,South Australia
Goyder,South Australia
Happy Valley,South Australia
Hart,South Australia
Heathfield,South Australia
Hynam,South Australia
Leawood Gardens,South Australia
Leigh Creek,South Australia
Lipson,South Australia
Malinong,South Australia
Marrabel,South Australia
Melrose,South Australia
Melrose Park,South Australia
Monarto South,South Australia
Mount Bryan East,South Australia
Mount Compass,South Australia
Mount Gambier,South Australia
Munno Para,South Australia
Murray Town,South Australia
Myponga,South Australia
Noarlunga Centre,South Australia
Nullarbor,"South Australia,Western Australia"
O'Halloran Hill,South Australia
O'Sullivan Beach,South Australia
Pandurra,South Australia
Paringa,South Australia
Parsons Beach,South Australia
Petersville,South Australia
Petwood,South Australia
Pinkerton Plains,South Australia
Pinks Beach,South Australia
Porter Lagoon,South Australia
Ramco Heights,South Australia
Renmark South,South Australia
Richmond,South Australia
Sellicks Hill,South Australia
St Clair,South Australia
Stone Well,South Australia
Sturt,South Australia
Summertown,South Australia
Sunnyvale,South Australia
Tepko,South Australia
Thebarton,South Australia
Ungarra,South Australia
Wasleys,South Australia
Watarru,South Australia
Wellington,South Australia
Wokurna,South Australia
Yalata,South Australia
Yorke Valley,South Australia
Aldersyde,Western Australia
Anniebrook,Western Australia
Arrowsmith,Western Australia
Barberton,Western Australia
Biddelia,Western Australia
Bilingurr,Western Australia
Bonnie Rock,Western Australia
Broke,Western Australia
Brookhampton,Western Australia
Caraban,Western Australia
Champion Lakes,Western Australia
City Beach,Western Australia
Coburn,Western Australia
Cooladar Hill,Western Australia
Daglish,Western Australia
De Grey,Western Australia
Duncraig,Western Australia
East Ballidu,Western Australia
Gabbadah,Western Australia
Georgina,Western Australia
Goodlands,Western Australia
Gracetown,Western Australia
Gunyidi,Western Australia
Harrisdale,Western Australia
Inglewood,Western Australia
Juna Downs,Western Australia
Jurien Bay,Western Australia
Kalgup,Western Australia
Korbel,Western Australia
Lake Margarette,Western Australia
Lancelin,Western Australia
Leeman,Western Australia
Leonora,Western Australia
Little Italy,Western Australia
Lockier,Western Australia
Marangaroo,Western Australia
Meadow,Western Australia
Mitchell Plateau,Western Australia
Mount Adams,Western Australia
Nalyerlup,Western Australia
Nangeenan,Western Australia
Narrikup,Western Australia
Needilup,Western Australia
North Greenbushes,Western Australia
Nunile,Western Australia
Pearsall,Western Australia
Picton East,Western Australia
Pithara,Western Australia
Sandstone,Western Australia
Serpentine,Western Australia
Sorrento,Western Australia
Springfield,Western Australia
Waeel,Western Australia
Waggrakine,Western Australia
West Toodyay,Western Australia
Westminster,Western Australia
Wiluna,Western Australia
Windabout,Western Australia
Windy Harbour,Western Australia
Yeagarup,Western Australia
Yornup,Western Australia
Zanthus,Western Australia
Blackwall,Tasmania
Carlton,Tasmania
Cremorne,Tasmania
Cygnet,Tasmania
Dodges Ferry,Tasmania
Forcett,Tasmania
Greens Beach,Tasmania
Herrick,Tasmania
Little Swanport,Tasmania
Lower Barrington,Tasmania
Lower Marshes,Tasmania
Mornington,Tasmania
Mount Hicks,Tasmania
Mount Seymour,Tasmania
Notley Hills,Tasmania
Nugent,Tasmania
Port Arthur,Tasmania
Rheban,Tasmania
Sandfly,Tasmania
Smithton,Tasmania
Togari,Tasmania
West Takone,Tasmania
Westbury,Tasmania
Winkleigh,Tasmania
Charlotte,Northern Territory
Flynn,Northern Territory
Humpty Doo,Northern Territory
Leanyer,Northern Territory
Minjilang,Northern Territory
Pigeon Hole,Northern Territory
Santa Teresa,Northern Territory
Southport,Northern Territory
Thamarrurr,Northern Territory
Macquarie,Australian Capital Territory
Molonglo,Australian Capital Territory
Richardson,Australian Capital Territory
Theodore,Australian Capital Territory
Wright,Australian Capital Territory
Christmas Island,Other Territories
Aberfoyle,New South Wales
Anabranch North,New South Wales
Ando,New South Wales
Babinda,New South Wales
Barnsley,New South Wales
Barrack Heights,New South Wales
Batlow,New South Wales
Beresfield,New South Wales
Bilbul,New South Wales
Blackwall,New South Wales
Bolwarra,New South Wales
Bookookoorara,New South Wales
Boolcarroll,New South Wales
Boomi Creek,New South Wales
Bowna,New South Wales
Box Head,New South Wales
Breadalbane,New South Wales
Brogers Creek,New South Wales
Brookfield,New South Wales
Buddabadah,New South Wales
Bullatale,New South Wales
Burra,New South Wales
Buttaba,New South Wales
Bywong,New South Wales
Cardiff South,New South Wales
Carrs Island,New South Wales
Castle Rock,New South Wales
Cawdor,New South Wales
Chakola,New South Wales
Claremont Meadows,New South Wales
Concord,New South Wales
Condong,New South Wales
Coombadjha,New South Wales
Cottage Point,New South Wales
Cow Flat,New South Wales
Crabbes Creek,New South Wales
Creel Bay,New South Wales
Croki,New South Wales
Dairy Flat,New South Wales
Deauville,New South Wales
Drummoyne,New South Wales
Dudley,New South Wales
Dumaresq Valley,New South Wales
Dunkeld,New South Wales
Eatonsville,New South Wales
Ellalong,New South Wales
Erin Vale,New South Wales
Ettrema,New South Wales
